scenario,var,id,val,pos
0.75,SLOC,MVPI000090,1.225,ld3
0.75,SLCL,MVPI000091,96.25,ld3
0.75,SLSI,MVPI000092,19.25,ld3
0.75,SLNI,MVPI000093,0.1225,ld3
0.75,SLHW,MVPI000094,8.4,ld3
0.75,SCEC,MVPI000095,3.15,ld3
0.75,SLB,MVPI000083,178.5,ld4
0.75,SLLL,MVPI000084,0.357,ld4
0.75,SDUL,MVPI000085,0.593,ld4
0.75,SSAT,MVPI000086,1,ld4
0.75,SRGF,MVPI000087,0.875,ld4
0.75,SSKS,MVPI000088,2.7475,ld4
0.75,SBDM,MVPI000089,1.785,ld4
0.75,SLOC,MVPI000090,0.875,ld4
0.75,SLCL,MVPI000091,100,ld4
0.75,SLSI,MVPI000092,14,ld4
0.75,SLNI,MVPI000093,0.0875,ld4
0.75,SLHW,MVPI000094,8.75,ld4
0.75,SCEC,MVPI000095,3.15,ld4
0.75,SLB,MVPI000083,257.25,ld5
0.75,SLLL,MVPI000084,0.346,ld5
0.75,SDUL,MVPI000085,0.454,ld5
0.75,SSAT,MVPI000086,0.79625,ld5
0.75,SRGF,MVPI000087,0.35,ld5
0.75,SSKS,MVPI000088,0.665,ld5
0.75,SBDM,MVPI000089,2.45,ld5
0.75,SLOC,MVPI000090,0.525,ld5
0.75,SLCL,MVPI000091,100,ld5
0.75,SLSI,MVPI000092,14,ld5
0.75,SLNI,MVPI000093,0.0525,ld5
0.75,SLHW,MVPI000094,9.975,ld5
0.75,SCEC,MVPI000095,3.15,ld5
0.75,SLB,MVPI000083,306.25,ld6
0.75,SLLL,MVPI000084,0.346,ld6
0.75,SDUL,MVPI000085,0.452,ld6
0.75,SSAT,MVPI000086,0.79275,ld6
0.75,SRGF,MVPI000087,0.0875,ld6
0.75,SSKS,MVPI000088,0.6475,ld6
0.75,SBDM,MVPI000089,2.45,ld6
0.75,SLOC,MVPI000090,0.525,ld6
0.75,SLCL,MVPI000091,100,ld6
0.75,SLSI,MVPI000092,15.75,ld6
0.75,SLNI,MVPI000093,0.0525,ld6
0.75,SLHW,MVPI000094,9.975,ld6
0.75,SCEC,MVPI000095,1.925,ld6
-0.05,SALB,MVNI000001,0.1235,pd
-0.05,SLU1,MVNI000002,7.6,pd
-0.05,SLDR,MVNI000003,0.57,pd
-0.05,SLRO,MVNI000004,71.25,pd
-0.05,SLNF,MVNI000005,0.95,pd
-0.05,SLPF,MVNI000006,0.95,pd
-0.05,SLB,MVNI000007,8.55,ld1
-0.05,SLLL,MVNI000008,0.1862,ld1
-0.05,SDUL,MVNI000009,0.3382,ld1
-0.05,SSAT,MVNI000010,0.44745,ld1
-0.05,SRGF,MVNI000011,0.855,ld1
-0.05,SSKS,MVNI000012,0.3895,ld1
-0.05,SBDM,MVNI000013,1.2635,ld1
-0.05,SLOC,MVNI000014,1.615,ld1
-0.05,SLCL,MVNI000015,47.5,ld1
-0.05,SLSI,MVNI000016,6.65,ld1
-0.05,SLNI,MVNI000017,0.1615,ld1
-0.05,SLHW,MVNI000018,4.845,ld1
-0.05,SCEC,MVNI000019,3.895,ld1
-0.05,SLB,MVNI000007,34.2,ld2
-0.05,SLLL,MVNI000008,0.18525,ld2
-0.05,SDUL,MVNI000009,0.33915,ld2
-0.05,SSAT,MVNI000010,0.475,ld2
-0.05,SRGF,MVNI000011,0.95,ld2
-0.05,SSKS,MVNI000012,0.589,ld2
-0.05,SBDM,MVNI000013,1.197,ld2
-0.05,SLOC,MVNI000014,1.14,ld2
-0.05,SLCL,MVNI000015,49.4,ld2
-0.05,SLSI,MVNI000016,8.55,ld2
-0.05,SLNI,MVNI000017,0.114,ld2
-0.05,SLHW,MVNI000018,4.655,ld2
-0.05,SCEC,MVNI000019,3.325,ld2
-0.05,SLB,MVNI000007,68.4,ld3
-0.05,SLLL,MVNI000008,0.2185,ld3
-0.05,SDUL,MVNI000009,0.3325,ld3
-0.05,SSAT,MVNI000010,0.5282,ld3
